City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Meulaboh,ID,84.06,scattered clouds,4.1363,96.1285,Kost Pria
1,Trairi,BR,76.66,overcast clouds,-3.2778,-39.2689,janelas do mar
4,Cape Town,ZA,66.2,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
5,Hermanus,ZA,63.0,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
6,Butaritari,KI,80.91,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
7,Hobart,AU,64.0,clear sky,-42.8794,147.3294,Mantra on Collins Hobart
8,Busselton,AU,71.01,clear sky,-33.65,115.3333,Observatory Guest House
9,Mahebourg,MU,80.6,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
11,Bengkulu,ID,84.47,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
12,Puerto Ayora,EC,75.99,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Matara,LK,84.24,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
14,Codrington,AU,61.88,scattered clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
15,Mataura,NZ,73.99,scattered clouds,-46.1927,168.8643,Ellie's Villa
16,Praia,CV,68.0,clear sky,14.9215,-23.5087,LT Aparthotel
20,Kokopo,PG,85.41,scattered clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
21,Rikitea,PF,80.29,scattered clouds,-23.1203,-134.9692,Pension Maro'i
22,Vila Velha,BR,75.0,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
23,Atuona,PF,79.59,scattered clouds,-9.8,-139.0333,Villa Enata
24,Trinidad,BO,72.84,overcast clouds,-14.8333,-64.9,Hotel Piesta
26,Kapaa,US,73.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
27,Port Elizabeth,ZA,68.0,clear sky,-33.918,25.5701,39 On Nile Guest House
29,Castro,BR,62.65,few clouds,-24.7911,-50.0119,CHACARA BAILLY
30,Port Alfred,ZA,70.0,broken clouds,-33.5906,26.891,The Halyards Hotel
34,Souillac,MU,80.6,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
37,Kwinana,AU,77.0,clear sky,-32.25,115.7667,Rockingham Apartments
39,Avarua,CK,82.4,clear sky,-21.2078,-159.775,Paradise Inn
46,Sorong,ID,81.75,overcast clouds,-0.8833,131.25,The Waigo Hotel
47,Dunedin,NZ,66.0,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
48,Pacasmayo,PE,73.9,overcast clouds,-7.4006,-79.5714,Hotel Libertad
51,Cidreira,BR,73.67,clear sky,-30.1811,-50.2056,Hotel Castelo
52,Naze,JP,69.8,broken clouds,28.3667,129.4833,奄美ポートタワーホテル
54,Bafia,CM,70.5,overcast clouds,4.75,11.2333,Ets MAISON BLANCHE
56,Nichinan,JP,62.6,few clouds,31.6,131.3667,Guest House Aki
60,Hilo,US,69.8,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
61,El Tocuyo,VE,62.6,overcast clouds,9.7873,-69.7937,HOTEL BOUTIQUE SANTO DOMINGO
64,San Luis,AR,66.58,scattered clouds,-33.295,-66.3356,Huarpes Hotel
65,Esperance,AU,68.0,broken clouds,-33.8667,121.9,Hospitality Esperance
67,Bontang,ID,83.88,light rain,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
70,New Norfolk,AU,64.0,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
78,Sao Filipe,CV,69.73,clear sky,14.8961,-24.4956,Tortuga B&B
79,Mount Pleasant,US,62.01,overcast clouds,32.7941,-79.8626,Best Western Patriots Point
80,Tabou,CI,77.31,overcast clouds,4.423,-7.3528,hotêl doufoulougou
81,Am Timan,TD,76.69,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
83,Bredasdorp,ZA,64.4,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
86,Kanigoro,ID,86.34,overcast clouds,-8.13,112.219,Musafer Villa ( Villa Erlin )
87,Fort Smith,US,61.0,clear sky,35.3859,-94.3986,Hampton Inn by Hilton Fort Smith
88,Barao De Melgaco,BR,77.0,moderate rain,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
89,Natitingou,BJ,73.4,overcast clouds,10.3042,1.3796,Auberge Centrale
90,Dzilam Gonzalez,MX,72.97,clear sky,21.2833,-88.9333,posadas
91,Singaparna,ID,88.52,overcast clouds,-7.3515,108.111,Wisma Dewi Hotel
92,Puerto Leguizamo,CO,72.09,overcast clouds,-0.1934,-74.7819,la casona de juancho
94,Ribeira Grande,PT,61.65,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
96,Samarai,PG,84.43,overcast clouds,-10.6167,150.6667,Nuli Sapi
99,Hasaki,JP,64.0,few clouds,35.7333,140.8333,Hotel Sunrise Choshi
100,Madiun,ID,85.84,overcast clouds,-7.6298,111.5239,ASTON Madiun Hotel & Conference Center
105,Cayenne,GF,77.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
107,Ambilobe,MG,75.74,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
108,Bambous Virieux,MU,80.6,light rain,-20.3428,57.7575,Casa Tia Villa
109,Jind,IN,81.0,clear sky,29.3167,76.3167,Hotel Deep Palace
110,Ndola,ZM,63.09,moderate rain,-12.9587,28.6366,Chabanga Lodge iSpot
113,Bluff,NZ,73.99,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
114,Kruisfontein,ZA,66.0,overcast clouds,-34.0033,24.7314,Oyster Bay House Rental
116,Collie,AU,69.01,clear sky,-33.3667,116.15,Collie Ridge
117,La Macarena,CO,71.55,overcast clouds,2.1837,-73.7849,Casa Hotel Real
120,Biak,ID,82.96,broken clouds,-0.9131,122.8766,Penginapan Kim
122,Te Anau,NZ,64.89,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
123,Apatou,GF,73.29,light rain,5.155,-54.3472,Yoto quensha
126,Victoria,HK,71.01,broken clouds,22.2855,114.1577,Mini Hotel Central
128,Dingle,PH,83.66,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
130,Canico,PT,60.8,broken clouds,32.6333,-16.85,Quinta Splendida Wellness & Botanical Garden
131,Nouadhibou,MR,66.2,clear sky,20.930999999999997,-17.0347,El Medina
132,Tabuk,PH,81.39,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
134,Coahuayana,MX,69.46,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
135,Bathsheba,BB,78.8,few clouds,13.2167,-59.5167,Atlantis Hotel
136,Vaini,TO,80.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
138,Geraldton,AU,89.6,clear sky,-28.7667,114.6,Broadwater Mariner Resort
139,Saint-Pierre,RE,80.6,light rain,-21.3393,55.4781,Lindsey Hôtel
140,Jibuti,DJ,77.0,haze,11.5,42.5,Orchid Main Camp Goubet
142,Ha Giang,VN,79.34,scattered clouds,22.8333,104.9833,Truong Xuan Ecolodge
146,Natal,BR,78.8,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
149,Singapore,SG,87.8,broken clouds,1.2897,103.8501,The Fullerton Hotel Singapore
150,Rawson,AR,61.07,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
153,Tezu,IN,73.27,overcast clouds,27.9167,96.1667,Circuit House
155,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
157,Harlingen,US,73.99,overcast clouds,26.1906,-97.6961,Courtyard by Marriott Harlingen
159,San Jose De Guanipa,VE,74.26,overcast clouds,8.8872,-64.1651,HOTEL 283 SUITES
161,Faya,SA,60.8,clear sky,18.3851,42.4509,مقبرة ال مجمل
163,Saint-Philippe,RE,80.6,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
164,Russell,US,64.4,clear sky,32.3502,-85.1999,Macs
166,Belmonte,BR,77.0,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
167,East London,ZA,71.6,clear sky,-33.0153,27.9116,Tu Casa
