City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Richards Bay,ZA,-28.783,32.0377,74.48,82,0,12.93,clear sky
1,Rikitea,PF,-23.1203,-134.9692,80.47,73,39,8.34,scattered clouds
2,Flinders,AU,-34.5833,150.8552,64.99,89,100,7.0,light rain
3,Dahuk,IQ,36.8695,42.994,45.1,70,1,3.24,clear sky
4,Nyimba,ZM,-14.5566,30.8149,68.74,90,82,4.88,broken clouds
5,Tokmak,UA,47.2514,35.7058,32.9,88,72,5.59,broken clouds
6,Dnestrovsc,MD,46.6222,29.9133,41.0,100,90,6.71,overcast clouds
7,Jamestown,US,42.097,-79.2353,35.6,32,1,8.48,clear sky
8,Khatanga,RU,71.9667,102.5,-20.58,94,66,12.71,broken clouds
9,Bengkulu,ID,-3.8004,102.2655,75.74,79,99,3.87,overcast clouds
10,Katsuura,JP,35.1333,140.3,55.0,95,55,18.07,broken clouds
11,Mount Isa,AU,-20.7333,139.5,78.8,69,29,6.91,scattered clouds
12,Vaini,TO,-21.2,-175.2,77.0,88,75,6.91,broken clouds
13,Qaqortoq,GL,60.7167,-46.0333,24.8,54,90,3.44,overcast clouds
14,Bystryy Istok,RU,52.371,84.3873,-10.23,91,26,2.13,scattered clouds
15,Albany,US,42.6001,-73.9662,37.99,29,41,6.11,scattered clouds
16,West Bay,KY,19.3667,-81.4167,78.8,73,40,13.8,scattered clouds
17,Canakkale,TR,40.0833,26.8333,41.0,87,0,2.3,clear sky
18,Ribeira Grande,PT,38.5167,-28.7,61.5,85,80,26.98,broken clouds
19,Caravelas,BR,-17.7125,-39.2481,75.81,81,0,5.68,clear sky
20,Barrow,US,71.2906,-156.7887,-4.0,65,1,16.11,clear sky
21,Kondoa,TZ,-4.9,35.7833,58.53,76,95,3.18,overcast clouds
22,Vung Tau,VN,10.346,107.0843,75.24,80,97,13.0,overcast clouds
23,Te Anau,NZ,-45.4167,167.7167,63.68,57,29,10.11,scattered clouds
24,Yellowknife,CA,62.456,-114.3525,0.0,60,90,5.75,overcast clouds
25,Kapaa,US,22.0752,-159.319,73.0,83,90,26.46,light rain
26,Ushuaia,AR,-54.8,-68.3,44.6,61,40,34.52,scattered clouds
27,Firminy,FR,45.3873,4.2907,44.6,70,75,6.91,broken clouds
28,Upernavik,GL,72.7868,-56.1549,-6.45,95,24,5.88,few clouds
29,Tadine,NC,-21.55,167.8833,79.23,73,92,14.07,overcast clouds
30,Aksarka,RU,66.5606,67.7975,10.31,89,95,11.5,overcast clouds
31,Grants Pass,US,42.439,-123.3284,66.99,25,1,0.49,clear sky
32,Airai,TL,-8.9266,125.4092,64.06,90,95,1.14,overcast clouds
33,Kenai,US,60.5544,-151.2583,24.8,45,1,4.27,clear sky
34,Los Llanos De Aridane,ES,28.6585,-17.9182,64.4,63,20,10.36,few clouds
35,Aguimes,ES,27.9054,-15.4461,64.4,82,75,16.11,broken clouds
